Feature Id,Importances
Periventricular_MRI,23.103225359726366
Oligoclonal_Bands,12.355035611270187
Infratentorial_MRI,8.414948724975776
Varicella,7.245170398747305
Breastfeeding,6.758365431838881
Age,5.953354647528818
Symptom_Vision,5.457316962342361
Gender,4.888860276930474
Symptom_Sensory,4.886955673827209
Schooling,4.380412811701415
Symptom_Motor,3.792156982174151
VEP,3.1774162025593093
Poly_Symptomatic,2.844186966768361
Spinal_Cord_MRI,1.9346921445791927
ULSSEP,1.2961609060695518
Symptom_Other,1.1836681365590827
Cortical_MRI,0.9787124042507236
LLSSEP,0.9548355371710858
Mono_Symptomatic,0.34190182024317034
BAEP,0.05262300073657579
