Feature,Importance
Gender,0.3952212103421687
Age,0.5112090760507437
Schooling,0.9009579931829034
Breastfeeding,0.5267509699980655
Varicella,0.09944681464160142
Oligoclonal_Bands,0.582546697805201
LLSSEP,0.28738732864428634
ULSSEP,0.14852938910995944
VEP,0.16369253677735063
BAEP,0.0
Periventricular_MRI,1.2644206988347404
Cortical_MRI,0.29121790769677636
Infratentorial_MRI,0.7426509214232178
Spinal_Cord_MRI,0.16166871617863451
Symptom_Vision,0.431502000590377
Symptom_Sensory,0.5565681810205944
Symptom_Motor,0.6804025028610459
Symptom_Other,0.6698369577854869
Mono_Symptomatic,0.5698266788104465
Poly_Symptomatic,0.12909471353493004
