Feature,Importance
Gender,0.3611872418832978
Age,0.24620968864970857
Schooling,0.6605614921507064
Breastfeeding,0.3117550911348465
Varicella,0.23218530011491292
Oligoclonal_Bands,0.6821607899426203
LLSSEP,0.256295721354751
ULSSEP,0.14697283422319574
VEP,0.3022269563466339
BAEP,0.18309308449428213
Periventricular_MRI,1.0484811963153813
Cortical_MRI,0.2248007338672524
Infratentorial_MRI,0.8258753081792387
Spinal_Cord_MRI,0.1957979895947519
Symptom_Vision,0.568624157920156
Symptom_Sensory,0.7010371473112695
Symptom_Motor,0.8911704635774921
Symptom_Other,0.7545194412304979
Mono_Symptomatic,1.2736576232581935
Poly_Symptomatic,0.4599774333612091
