Feature Id,Importances
Periventricular_MRI,0.16726828630131152
Infratentorial_MRI,0.10274063711773988
Oligoclonal_Bands,0.09743829690497179
Age,0.0952920622368069
Schooling,0.07080909063974486
Varicella,0.06057934544708066
Breastfeeding,0.04352010723456558
Symptom_Motor,0.040929772978161486
Gender,0.039923336700438364
VEP,0.03295451315523622
LLSSEP,0.032704493323827175
Symptom_Other,0.03229944170693696
Cortical_MRI,0.030778360490842253
ULSSEP,0.030099727002777788
Symptom_Sensory,0.028536912364261056
Symptom_Vision,0.023454932650407153
Spinal_Cord_MRI,0.022001306275403972
Poly_Symptomatic,0.018811471430537612
Mono_Symptomatic,0.017233982270532335
BAEP,0.012623923768416456
